score,category,keyword,volume,kd,cpc,variants
224.3,how-to-block,how to stop snorers,49500,10,2.03,1
224.3,how-to-block,how to stop snoring,49500,10,2.03,3
224.3,how-to-block,how to quit snoring,49500,10,2.03,1
223.2,bible-verses,biblical verses about love,165000,11,2.35,1
219.4,prayers,mercy divine chaplet,135000,8,0.56,14
218.7,bible-verses,biblical verses about strength,90500,11,1.82,1
218.1,catholic,how many days lent,27100,9,11.22,10
218.1,catholic,how long lent,27100,9,11.22,5
218.1,catholic,how many day in lent,27100,9,11.22,1
218.0,other,al pastors,201000,8,0.41,1
217.7,prayers,night time prayer,60500,8,0.37,5
217.7,prayers,prayer at night time,60500,8,0.37,1
217.7,prayers,pray night prayer,60500,8,0.37,1
216.1,prayers,prayer for the lord,246000,8,0.19,2
215.7,bible-verses,bible scriptures for healing,90500,10,1.01,3
215.7,how-to-block,how to stop unwanted calls on iphone,60500,18,2.39,1
215.4,prayers,prayer to st michael angel,135000,8,0.12,1
215.2,devotionals,intouch daily devotional,40500,19,11.96,1
213.6,prayers,prayer to me,246000,21,6.52,1
212.6,other,how how to delete instagram account,201000,9,0.22,1
211.8,bible-verses,verses for healing in bible,90500,11,1.01,7
211.8,other,verses in the bible on healing,90500,11,1.01,3
211.4,how-to-block,how to turn off locate my iphone,49500,13,1.9,1
211.3,bible-verses,bible verses on love,165000,14,2.35,4
210.9,bible-verses,bible scripture about strength,90500,13,1.82,1
210.9,bible-verses,biblical scriptures for strength,90500,13,1.82,1
209.2,how-to-block,how to delete apps iphone,33100,6,3.7,9
208.6,prayers,rosary catholic prayer,60500,11,0.63,4
208.4,how-to-block,how to delete browser cache chrome,60500,16,0.54,3
207.3,how-to-block,how to block unsolicited calls on iphone,60500,20,2.39,1
207.0,other,quotes from the bible about strength,90500,14,1.82,2
205.6,prayers,hand for prayer,49500,5,0.07,2
204.9,bible-verses,bible scripture about friendship,49500,7,0.82,1
204.1,bible-verses,bible verses about verses,165000,18,3.47,1
204.1,bible-verses,verses on the bible,165000,18,3.47,4
203.9,how-to-block,how to delete iphone search history,74000,18,0.95,6
203.9,how-to-block,how to delete iphone website history,74000,18,0.95,2
203.9,how-to-block,how to delete browsing history on iphone,74000,18,0.95,2
203.9,how-to-other,how to to stop snoring,49500,10,2.03,1
203.5,bible-verses,bible quotes about love,165000,16,2.35,1
203.5,other,quotes from bible about love,165000,16,2.35,2
203.2,how-to-block,how to block unwanted calls from iphone,60500,21,2.39,1
203.2,how-to-block,how to block unwanted calls on iphone,60500,21,2.39,1
203.1,other,free phone,110000,21,5.01,4
203.0,catholic,how many days long is lent,27100,13,11.22,1
202.4,audiences,easy peasy homeschool,22200,6,15.01,2
202.1,how-to-other,how to force quit mac computer,60500,12,0.29,2
200.6,bible-verses,biblical verses about forgiveness,33100,1,2.89,1
199.9,how-to-block,how to delete iphone internet history,74000,19,0.95,2
198.8,how-to-block,how to turn off my phone,33100,2,0.63,4
198.6,bible-verses,quotation about bible verse,60500,25,6.84,1
196.7,other,verse from the bible about healing,49500,11,1.57,2
196.7,other,verses from bible for healing,49500,11,1.57,3
196.7,bible-verses,verses on healing from the bible,49500,11,1.57,2
194.4,how-to-block,how to delete iphone cookies,49500,18,2.19,4
193.3,devotionals,daily devotional charles stanley,33100,19,11.72,3
192.1,how-to-block,how to delete your history on iphone,74000,21,0.95,1
192.0,prayers,emoji for prayers,40500,3,0.04,1
191.8,bible-verses,bible scriptures for strength,90500,18,1.82,1
191.5,how-to-block,how to block contact on iphone,40500,10,0.58,3
191.2,bible-verses,bible verse about inspiration,33100,4,2.92,2
191.2,bible-verses,bible verses on inspiration,33100,4,2.92,2
190.1,audiences,christian dior perfume men,33100,1,1.49,5
190.1,how-to-block,how to stop spotify premium,27100,5,3.35,1
189.2,how-to-block,how to stop hiccups,74000,20,0.08,3
189.1,adult-blocking,covenant eyes inc,33100,25,2.35,1
189.1,adult-blocking,covenant eyes,33100,25,2.35,11
188.1,other,quotes from bible about healing,33100,1,1.22,2
188.0,how-to-block,how to block a website iphone,27100,3,2.16,5
186.1,other,verses from bible about faith,27100,2,4.03,3
186.1,bible-verses,bible verses on faith,27100,2,4.03,3
186.1,other,verses in the bible on faith,27100,2,4.03,1
186.1,other,verses from the bible on faith,27100,2,4.03,1
185.9,how-to-block,how to delete from facebook account,201000,21,0.14,4
185.9,how-to-block,how to delete facebook account,201000,21,0.14,16
185.9,devotionals,daily devotional in touch,40500,26,11.89,2
184.4,how-to-block,how to delete iphone web history,74000,23,0.95,2
183.3,bible-study,bible for bible study,40500,16,4.9,10
183.0,prayers,prayer rosary,60500,18,0.63,28
183.0,prayers,prayerful rosary,60500,18,0.63,1
183.0,prayers,praying the rosary prayers,60500,18,0.63,1
182.7,prayers,prayer for saint michael,135000,17,0.12,3
182.0,devotionals,today's devotional our daily bread,74000,28,6.16,1
181.5,other,passages from the bible about forgiveness,33100,7,2.89,1
181.3,how-to-block,how to delete chrome cache,60500,23,0.54,1
181.2,bible-verses,bible verses on communion,33100,2,0.69,2
181.1,prayers,prayer for tonight,60500,18,0.37,2
181.0,blocker-tools,how to block websites chromebook,14800,4,3.22,3
180.8,how-to-other,how to turn my phone off,33100,2,0.63,4
180.5,how-to-other,how to force quit on macbook,60500,18,0.29,3
179.4,prayers,prayer for hail mary,135000,18,0.14,1
178.4,how-to-block,how to delete fb account,201000,23,0.14,4
178.0,audiences,christian dior fragrance men,33100,5,1.49,2
177.5,prayers,night time prayer christian,60500,19,0.37,2
177.3,devotionals,joyce meyer daily devotional,40500,25,9.5,4
177.1,catholic,lent,135000,33,7.36,7
176.8,prayers,prayer to heal,90500,20,0.76,1
176.8,how-to-block,how to delete internet history from iphone,74000,25,0.95,1
176.7,catholic,when does lent begin,90500,21,0.04,1
176.7,prayers,prayer for act of contrition,33100,2,0.08,1
176.4,how-to-block,how to turn off iphone,49500,19,0.24,6
175.8,how-to-block,how to stop an apple from turning brown,27100,2,0.06,1
175.7,how-to-block,how to block sites iphone,27100,7,2.16,7
175.3,bible-verses,bible scripture about forgiveness,33100,9,2.89,1
175.3,bible-verses,bible scriptures for forgiveness,33100,9,2.89,1
175.0,catholic,last week of lent,33100,21,8.05,1
174.1,prayers,prayer to san miguel arcangel,40500,9,0.15,1
174.1,bible-verses,bible quotes about faith,27100,6,4.03,1
173.4,bible-verses,bible verse about lovely,165000,24,2.35,1
173.0,how-to-block,how to delete search history from iphone,74000,26,0.95,1
172.7,how-to-block,how to block a website from iphone,27100,8,2.16,1
172.0,how-to-other,how to to stop hiccups,74000,20,0.08,1
172.0,blocker-tools,how to block websites in chrome browser,14800,7,3.22,1
171.6,bible-verses,bible verses about comforting,27100,1,1.42,1
171.6,bible-verses,bible verses on comfort,27100,1,1.42,2
171.6,bible-verses,bible verses for comforting,27100,1,1.42,1
171.5,how-to-block,how to block iphone numbers,40500,16,0.58,6
171.5,how-to-block,how to block numbers from iphone,40500,16,0.58,1
171.3,how-to-block,how to stop private browsing,27100,6,1.06,1
171.2,prayers,prayer for day,74000,29,5.02,6
170.6,prayers,prayer at night,60500,21,0.37,2
170.5,bible-verses,scriptures for forgiveness,27100,4,2.53,1
169.4,bible-verses,bible quotes about marriage,27100,1,1.09,1
169.4,audiences,quotes from the bible about marriage,27100,1,1.09,1
169.0,how-to-other,how to facebook delete account,201000,21,0.14,4
169.0,other,delete facebook account how to,201000,21,0.14,4
169.0,prayers,prayer how to pray,18100,7,9.86,1
168.8,bible-verses,verses about comfort,27100,2,1.42,1
167.5,how-to-block,how to stop from snoring,49500,25,2.03,1
167.2,how-to-block,how to stop browning of apples,27100,5,0.06,1
167.1,how-to-block,how to stop apples from browning,27100,5,0.04,1
166.9,bible-verses,bible scripture about relationships,27100,2,1.13,1
165.9,how-to-block,how to stop itching down there immediately,22200,3,1.5,1
165.4,prayers,prayer for st michael,135000,22,0.12,3
165.3,bible-verses,biblical verses about faith,27100,9,4.03,1
165.1,devotionals,daily devotional by billy graham,14800,2,9.64,1
165.1,devotionals,daily devotional billy graham,14800,2,9.64,2
165.0,bible-verses,what does scripture say about cremation,27100,1,0.45,1
165.0,bible-verses,what does the bible say about cremation,27100,1,0.45,1
164.9,prayers,words to livin on a prayer,33100,6,0.02,1
163.9,audiences,passages about marriage in the bible,27100,3,1.09,2
163.5,audiences,homeschool math curriculum,27100,9,3.72,8
163.3,bible-verses,bible quotes about motivation,33100,13,2.92,1
162.7,verse-display,verse of the day king james,22200,21,9.23,2
162.2,how-to-other,how to fb delete account,201000,23,0.14,1
162.0,prayers,prayer to saint michael archangel,135000,23,0.12,4
162.0,how-to-other,how to turn apple.watch off,33100,7,0.0,4
161.9,how-to-block,how to delete browser history on iphone,74000,29,0.95,1
161.9,bible-verses,bible quotes about bible,60500,34,6.84,1
161.7,how-to-block,how to delete application on mac,33100,14,0.69,2
161.3,prayers,pray morning prayer,110000,24,0.52,2
160.9,how-to-block,how to block sites from iphone,27100,12,2.16,1
160.8,prayers,prayer for st jude,27100,2,0.22,2
160.5,prayers,christian prayer for strength,40500,15,0.82,2
160.4,how-to-other,how to turn on off iphone,49500,19,0.24,3
159.9,how-to-other,how to turn location off iphone,27100,5,1.31,3
159.7,prayers,glory to father prayer,33100,8,0.07,5
158.7,how-to-block,how to delete an app macbook,33100,15,0.69,1
158.5,other,passages about anxiety in the bible,49500,22,1.44,1
158.2,blocker-tools,penne pomodoro,12100,2,1.47,1
157.3,prayers,prayer roman catholic,40500,16,0.8,3
157.2,how-to-block,how to turn off apple watch,33100,14,0.0,3
157.2,how-to-block,how to stop subscription on iphone,22200,19,8.24,3
156.6,how-to-block,how to delete a gmail address,33100,16,0.82,1
156.0,how-to-block,how to block on tiktok,22200,10,3.04,1
155.7,catholic,when does lent start,90500,27,0.04,2
155.5,how-to-block,how to stop cough,40500,21,0.58,2
155.4,bible-verses,bible verses on guarding your heart,14800,4,8.72,1
154.7,prayers,prayer to forgive,18100,2,4.5,1
154.6,prayers,morning prayer christianity,110000,26,0.52,1
154.6,how-to-block,how to turn off ipad,33100,15,0.04,3
154.6,blocker-tools,how to block websites from chrome,14800,13,3.22,2
154.6,blocker-tools,how to block websites chrome,14800,13,3.22,12
154.4,how-to-block,how to turn off private browser on iphone,22200,6,0.97,1
153.9,bible-verses,bible scriptures for faith,27100,13,4.03,1
153.5,how-to-block,how to turn off active status on ig,22200,4,0.0,1
153.0,how-to-block,how to block someone on fb,27100,10,0.0,3
152.8,how-to-block,how to stop coughing,40500,22,0.65,1
152.8,how-to-block,how to stop location on iphone,27100,13,1.31,1
152.5,bible-verses,scripture about faith,18100,1,3.64,1
152.5,bible-verses,scriptures for faith,18100,1,3.64,1
152.3,how-to-block,how to block a phone on iphone,40500,22,0.58,1
152.3,how-to-block,how to block no on iphone,40500,22,0.58,1
152.2,how-to-block,how to block web pages on iphone,27100,15,2.16,1
152.1,prayers,prayer to michael archangel,135000,26,0.12,6
152.1,audiences,christian dior sauvage cologne for men,40500,20,1.93,1
151.8,how-to-block,how to turn off dnd on iphone,27100,13,1.14,1
151.6,prayers,st jude novena,18100,4,4.86,6
151.6,prayers,st jude's novena,18100,4,4.86,1
150.9,how-to-block,how to delete browser cookies on iphone,49500,30,2.19,1
150.9,how-to-block,how to stop a runny nose,27100,13,0.99,2
150.9,how-to-block,how to stop flowing nose,27100,13,0.99,1
150.9,how-to-block,how to stop drippy nose,27100,13,0.99,1
150.7,how-to-block,how to stop diarrhea,49500,27,0.45,2
150.7,how-to-block,how to reduce diarrhea,49500,27,0.45,1
149.5,bible-verses,scripture about nephilim,22200,6,2.58,1
149.2,how-to-block,how to block mobile numbers on iphone,40500,23,0.58,1
149.0,how-to-block,how to delete history from safari,49500,28,0.71,1
149.0,how-to-block,how to delete safari history,49500,28,0.71,1
149.0,how-to-block,how to delete search history in safari,49500,28,0.71,2
149.0,how-to-block,how to turn off iphone do not disturb,27100,14,1.14,2
148.8,catholic,significance of lent,22200,21,9.28,1
148.6,prayers,prayers during the rosary,40500,19,0.83,1
148.4,prayers,time for maghrib prayer today,33100,29,9.86,2
148.4,how-to-block,how to turn off liquid glass,22200,6,0.0,1
147.6,how-to-block,how to block someone facebook,27100,12,0.0,3
147.6,how-to-block,how to block someone from facebook,27100,12,0.0,1
147.6,how-to-block,how to block people from facebook,27100,12,0.0,1
146.6,how-to-block,how to stop snore,49500,31,2.03,1
146.6,other,facebook how to block someone,27100,7,0.0,1
146.2,how-to-block,how to stop nasal drip,18100,3,0.89,2
145.7,other,fb how to delete account,201000,28,0.14,1
145.6,prayers,prayer for thanksgiving,22200,10,3.75,3
145.6,prayers,prayer for thanksgiving day,22200,10,3.75,3
145.5,prayers,prayer to st michael archangel,135000,28,0.12,4
144.9,prayers,islamic time for prayer,450000,39,7.31,10
144.8,bible-verses,bible verses about fruit of the holy spirit,33100,15,0.77,3
144.8,bible-verses,bible verse about fruit of the spirit,33100,15,0.77,8
144.8,bible-verses,bible verses on fruit of the spirit,33100,15,0.77,4
144.7,prayers,prayers for forgiveness christian,18100,6,4.5,2
144.2,other,what does it say about cremation in the bible,27100,9,0.45,1
144.1,other,fb how to block someone,27100,8,0.0,1
143.8,prayers,night prayer christian,60500,29,0.37,2
143.7,how-to-block,how to stop bleeding nose,40500,24,0.17,4
143.7,how-to-block,how to stop bleeding from nose,40500,24,0.17,2
143.7,how-to-block,how to stop s bloody nose,40500,24,0.17,1
143.7,how-to-block,how to stop nasal bleeding,40500,24,0.17,1
143.7,how-to-block,how to stop a nose bleed,40500,24,0.17,2
143.7,how-to-block,how to stop a nosebleed,40500,24,0.17,1
143.4,audiences,homeschool resource,301000,38,6.19,3
143.2,prayers,st michael's chaplet,22200,4,0.63,1
143.0,how-to-block,how to reduce cortisol,40500,26,1.1,1
142.2,audiences,khan academy homeschool,18100,5,3.53,4
142.0,prayers,prayer for jesus,22200,12,4.06,2
141.3,adult-blocking,how to stop porn addiction,18100,27,3.81,3
141.3,adult-blocking,how to stop pornography addiction,18100,27,3.81,1
141.3,adult-blocking,how to quit a porn addiction,18100,27,3.81,1
141.3,adult-blocking,how to break porn addiction,18100,27,3.81,2
141.3,audiences,time4learning homeschool curriculum,9900,1,10.63,1
141.2,how-to-block,how to delete an app mac,33100,21,0.69,1
141.1,prayers,prayer schedule for muslims,450000,40,7.31,1
140.7,how-to-block,how to stop epistaxis,40500,25,0.17,1
140.6,bible-verses,bible passages about hope,18100,4,2.77,1
140.5,how-to-other,how to turn ipad off,33100,15,0.04,5
140.5,blocker-tools,pomodoro pizza,9900,4,1.85,2
139.4,how-to-block,how to turn off smoke detector,18100,4,0.14,3
139.2,how-to-block,how to turn off pop up blocker,27100,18,1.34,2
139.1,how-to-block,how to stop vikkal,74000,34,0.08,1
139.1,how-to-block,how to turn off do not disturb,27100,17,0.84,1
139.0,how-to-block,how to turn off private browsing iphone,22200,12,0.97,5
138.9,how-to-other,how to to stop coughing,40500,22,0.65,1
138.9,bible-verses,scripture about praying,18100,1,1.18,1
138.6,verse-display,bible verse of the day about strength,9900,4,7.04,1
138.4,prayers,rosary divine mercy,135000,31,0.56,3
138.2,bible-verses,scriptures for peace,40500,25,2.12,1
138.2,bible-verses,bible quotes about peace,40500,25,2.12,1
137.4,how-to-block,how to stop eye twitch,18100,5,0.18,4
137.4,how-to-block,how to stop twitchy eye,18100,5,0.18,1
137.4,how-to-block,how to stop eye from twitching,18100,5,0.18,3
137.4,how-to-block,how to stop eye tics,18100,5,0.18,1
137.4,how-to-block,how to stop twitching eye,18100,5,0.18,5
137.4,how-to-block,how to stop a twitchy eyelid,18100,5,0.18,1
137.2,how-to-other,how to to stop a runny nose,27100,13,0.99,1
137.1,how-to-other,how to pray rosary prayer,74000,32,0.89,3
137.1,how-to-other,how to say a rosary prayer,74000,32,0.89,3
137.1,how-to-other,how to pray holy rosary,74000,32,0.89,3
137.0,how-to-other,how to to stop diarrhea,49500,27,0.45,1
137.0,prayers,verses from the bible about prayer,18100,2,1.24,1
137.0,prayers,verses in the bible on prayer,18100,2,1.24,1
136.8,bible-verses,scripture about anxiety,18100,3,1.62,1
136.8,bible-verses,scriptures for anxiety,18100,3,1.62,1
136.7,bible-verses,scripture how to pray,18100,2,1.18,3
136.7,prayers,novena saint jude,18100,10,4.86,3
136.7,how-to-block,how to stop post nasal drip,18100,7,0.89,3
136.5,other,pop up blocker how to turn off,27100,14,1.34,1
136.5,prayers,prayer when anxious,18100,4,1.99,1
136.1,prayers,st michael rosary chaplet,22200,7,0.63,1
136.1,prayers,saint michael the archangel chaplet,22200,7,0.63,3
135.9,how-to-block,how to delete browser history safari,49500,32,0.71,2
135.9,how-to-block,how to delete browsing history safari,49500,32,0.71,2
135.7,catholic,when lent over,27100,20,2.93,4
135.6,prayers,christian rosary prayer,60500,32,0.63,2
135.4,blocker-tools,spaghettoni pomodoro,12100,8,0.12,1
135.0,bible-verses,bible verse about thanksgiving day,18100,2,0.87,2
135.0,bible-verses,bible verses for thanksgiving holiday,18100,2,0.87,1
135.0,blocker-tools,spaghetti pomodoro,12100,8,0.04,1
134.8,how-to-block,how to turn off smoke detector alarm,18100,6,0.14,1
134.2,how-to-other,how to i block someone on facebook,27100,12,0.0,1
133.9,how-to-other,how to turn dnd off,27100,14,0.84,1
133.8,how-to-other,how to use rosary,74000,33,0.89,4
133.7,audiences,christian counselling marriage,9900,5,11.01,4
133.4,how-to-block,how to quit netflix,22200,17,2.31,1
132.8,prayers,seven sorrows chaplet,18100,4,1.28,3
132.8,catholic,lent spanish,8100,4,17.55,2
132.7,parental,app parental control,40500,44,6.78,18
132.7,parental,parental control application,40500,44,6.78,2
132.5,bible-verses,bible verses about pray,18100,4,1.24,2
132.5,bible-verses,bible verses on pray,18100,4,1.24,5
132.2,how-to-block,how to block unknown numbers from iphone,18100,10,1.37,1
132.2,how-to-block,how to block unknown numbers on iphone,18100,10,1.37,2
132.1,adult-blocking,accountable2you,12100,15,0.93,4
131.9,prayers,s t jude novena,18100,12,4.86,1
131.9,blocker-tools,pasta pomodoro,14800,16,0.57,2
131.5,how-to-block,how to turn off private browsing mode on iphone,22200,15,0.97,1
130.9,how-to-block,how to quit ecig,22200,27,7.72,1
130.8,prayers,prayer for bedtime,27100,14,0.28,2
130.6,other,nose bleeding how to stop,40500,24,0.17,2
130.6,bible-verses,scriptures for thankfulness,22200,13,2.28,1
130.6,audiences,easy peasy all in one homeschool curriculum,22200,9,0.47,2
130.6,bible-verses,bible verses on giving thanks,18100,4,0.87,1
130.5,prayers,prayer for saint jude,27100,14,0.22,2
130.5,how-to-block,how to stop eyelid twitching,18100,8,0.18,1
130.5,how-to-block,how to stop an eyelid from twitching,18100,8,0.18,1
130.3,other,verses in the bible about protection,18100,4,0.82,1
130.3,other,verses in the bible for protection,18100,4,0.82,1
130.3,bible-verses,bible verses on protection,18100,4,0.82,2
130.3,bible-verses,bible verse about protection,18100,4,0.82,1
130.3,bible-verses,bible verse about protecting,18100,4,0.82,1
130.2,prayers,prayers for anxiousness,18100,10,3.49,1
129.8,how-to-block,how to reduce size of a pdf,22200,20,3.17,1
129.8,how-to-block,how to block unknown callers on iphone,18100,11,1.37,1
129.5,how-to-block,how to turn off ai on google,27100,23,2.08,2
129.3,how-to-block,how to block a person on facebook,27100,19,0.0,1
129.3,bible-verses,bible verses on salvation,14800,1,1.92,3
129.0,how-to-other,how to turn the pop up blocker off,27100,17,1.34,1
128.4,platform,mac how to delete apps,33100,21,0.69,1
128.4,prayers,prayer for bed,27100,15,0.28,2
128.4,prayers,prayer before bedtime,27100,15,0.28,2
128.3,audiences,homeschool texas,9900,9,23.71,4
128.2,bible-verses,scripture about thankfulness,22200,14,2.28,1
127.9,other,epistaxis how to stop,40500,25,0.17,1
127.9,other,bloody nose how to stop,40500,25,0.17,1
127.9,bible-verses,bible quotes about healing and strength,14800,1,1.64,2
127.5,how-to-block,how to block unknown calls iphone,18100,12,1.37,2
127.3,prayers,prayers for families,14800,5,3.27,2
127.2,how-to-block,how to reduce pdf document file size,22200,21,3.17,3
126.9,prayers,st michael archangel chaplet,22200,11,0.63,4
126.5,prayers,healing prayers for strength,18100,7,1.34,3
126.3,other,verse in the bible about thanksgiving,18100,6,0.87,2
126.3,bible-verses,bible verses on thanksgiving,18100,6,0.87,3
126.3,bible-verses,bible verse about thanksgiving,18100,6,0.87,1
126.3,other,verses in the bible on thanksgiving,18100,6,0.87,1
126.3,bible-verses,bible passages about thanksgiving,18100,6,0.87,1
126.2,how-to-block,how to turn off iphone passcode,14800,4,0.16,3
125.9,catholic,examination of conscience,27100,19,0.49,6
125.5,bible-verses,bible quotes about strength in hard times,14800,6,3.34,1
125.4,prayers,divine mercy prayer chaplet,49500,32,1.07,15
125.2,prayers,prayer to family,14800,6,3.27,4
125.1,bible-verses,scripture about salvation,14800,3,1.92,1
124.9,how-to-other,how to pray prayer,18100,23,9.86,2
124.5,prayers,prayer to saint francis,22200,11,0.16,2
124.5,prayers,divine mercy novena,14800,4,2.22,6
124.4,how-to-other,how to lead the rosary,74000,36,0.89,1
124.4,bible-verses,bible quotes about easter,8100,5,12.48,1
124.2,bible-verses,bible quotes about loving god,12100,1,3.54,1
123.9,other,passages about faith in the bible,27100,24,4.03,1
123.4,prayers,st.joseph novena,9900,7,9.44,6
123.4,prayers,st joseph's novena,9900,7,9.44,1
122.7,prayers,prayer for contrition,33100,22,0.08,1
122.5,prayers,archangel michael chaplet,22200,13,0.65,1
122.4,prayers,st michael the archangel chaplet prayer,22200,13,0.63,1
122.4,prayers,saint michael's chaplet,22200,13,0.63,1
122.4,prayers,saint michael chaplet,22200,13,0.63,3
122.2,prayers,song prayer to st francis,22200,12,0.16,1
122.0,blocker-tools,linguine pomodoro,14800,20,0.57,1
121.9,other,inspirational quotes about bible,12100,7,5.86,2
121.5,prayers,prayers for sinners,18100,8,0.76,1
121.2,how-to-block,how to stop kidney stones,33100,28,0.59,1
121.2,parental,how to turn off parental control on iphone,5400,2,7.44,1
121.1,prayers,prayer for daily,40500,29,0.99,6
121.0,bible-verses,scripture about peace,40500,31,2.12,1
121.0,how-to-block,how to delete account gmail,33100,28,0.55,5
121.0,how-to-block,how to reduce 10 pounds in a month,18100,22,5.2,1
120.6,how-to-block,how to stop unknown calls iphone,18100,15,1.37,2
120.5,bible-verses,bible scripture about perseverance,14800,5,1.8,1
120.5,prayers,prayer before food,14800,1,0.15,2
120.5,prayers,prayer before eating meal,14800,1,0.15,3
120.4,prayers,prayer for our father who art in heaven,201000,36,0.1,1
120.1,audiences,homeschool hubs,14800,23,13.79,1
120.1,audiences,homeschool hub,14800,23,13.79,1
119.8,how-to-block,how to delete web browser cache,49500,38,1.25,1
119.3,how-to-block,how to quit spotify premium,27100,29,3.35,1
119.3,bible-verses,bible verse about jesus wept,14800,7,2.44,1
119.2,how-to-block,how to turn off read receipts,14800,7,0.0,1
118.9,how-to-block,how to stop restless legs immediately,22200,20,0.88,1
118.9,how-to-block,how to stop restless leg immediately,22200,20,0.88,1
118.8,how-to-block,how to stop subscription,22200,36,11.54,3
118.3,how-to-block,how to reduce 10 pounds in a week,14800,18,5.15,1
117.9,bible-verses,bible scriptures for hope,18100,14,2.77,1
117.7,catholic,catholic bible,74000,40,0.86,29
117.6,bible-verses,scripture about deborah,14800,5,1.19,1
117.5,prayers,catholic prayer,40500,30,0.8,15
116.8,blocker-tools,pazzo pomodoro,8100,7,0.99,1
116.7,bible-verses,bible scripture about thanksgiving,14800,6,1.42,1
116.7,bible-verses,scripture about thanksgiving,14800,6,1.42,1
116.7,bible-verses,bible scriptures for thanksgiving,14800,6,1.42,1
116.7,bible-verses,scriptures for thanksgiving,14800,6,1.42,1
116.4,prayers,novena surrender,27100,24,2.32,4
116.4,prayers,surrendering novena,27100,24,2.32,1
116.1,how-to-block,how to block calls from unknown numbers iphone,18100,17,1.37,1
115.9,prayers,divine chaplet song,14800,3,0.0,2
115.9,prayers,divine mercy chaplet song,14800,3,0.0,8
115.7,verse-display,king james version bible verse of the day,27100,34,4.51,2
115.7,bible-verses,scripture about gifts of the spirit,9900,5,6.29,1
115.6,prayers,prayer to st francis,22200,15,0.16,2
115.5,other,study tools for bible,60500,41,2.32,3
115.5,bible-verses,bible quotes about protection,18100,11,0.82,1
115.5,how-to-block,how to stop a toothache pain fast,14800,14,2.37,1
115.2,prayers,how is the rosary prayed,74000,39,0.89,1
115.2,blocker-tools,pomodoro method,22200,40,6.01,2
115.2,prayers,prayer to saint padre pio,14800,4,0.27,1
115.2,audiences,online homeschool course,14800,25,18.68,3
115.2,audiences,online schools homeschool,14800,25,18.68,3
115.2,how-to-block,how to quit watching ponography,9900,8,4.86,1
